AlertKey,AlertId,TransactionKey,AlertTs,DateKey,CustomerKey,AccountKey,RuleCode,RuleName,Severity,FraudScore,AmountUsd,Status,Disposition,Analyst
61,ALERT0000061,4653,2025-05-07T14:37:25Z,20250507,160,307,R07,Dormant account suddenly active,Critical,0.99,17066.17,Closed,Confirmed Fraud,auto-cleared
62,ALERT0000062,4677,2026-06-19T12:25:56Z,20260619,176,344,R07,Dormant account suddenly active,Critical,0.99,8515.72,Open,Under Review,unassigned
63,ALERT0000063,4781,2026-05-17T04:39:55Z,20260517,135,257,R07,Dormant account suddenly active,Critical,0.99,50343.56,Closed,Confirmed Fraud,Tom Becker
64,ALERT0000064,4865,2026-05-03T09:12:39Z,20260503,183,355,R02,Impossible travel velocity,Critical,0.903,6427.43,Open,Under Review,unassigned
65,ALERT0000065,4907,2025-12-18T11:17:10Z,20251218,220,431,R01,High-risk merchant category,High,0.99,52521.45,Closed,Confirmed Fraud,Tom Becker
66,ALERT0000066,4928,2026-06-20T01:45:48Z,20260620,178,347,R02,Impossible travel velocity,Critical,0.704,24847.89,Closed,Confirmed Fraud,Maya Iyer
67,ALERT0000067,5068,2025-10-20T12:30:36Z,20251020,120,229,R03,Amount exceeds 6x customer average,High,0.873,400.83,Open,Under Review,unassigned
68,ALERT0000068,5082,2026-06-20T02:43:24Z,20260620,52,104,R01,High-risk merchant category,High,0.769,4859.76,Closed,Confirmed Fraud,Sara Lopez
69,ALERT0000069,5266,2025-11-21T16:41:51Z,20251121,215,418,R06,First transaction in new country,Medium,0.723,747.24,Closed,False Positive,auto-cleared
70,ALERT0000070,5550,2026-06-20T07:10:12Z,20260620,130,248,R04,Card-not-present + international,Medium,0.783,23.94,Closed,False Positive,Ken Watanabe
71,ALERT0000071,5572,2026-05-29T13:15:56Z,20260529,52,104,R07,Dormant account suddenly active,Critical,0.78,141.0,Closed,False Positive,Sara Lopez
72,ALERT0000072,5641,2026-06-19T16:59:32Z,20260619,56,114,R01,High-risk merchant category,High,0.934,39898.04,Closed,False Positive,Maya Iyer
73,ALERT0000073,5731,2026-05-21T16:45:54Z,20260521,178,347,R05,Rapid-fire authorizations,High,0.99,39335.33,Closed,Confirmed Fraud,Maya Iyer
74,ALERT0000074,5837,2026-05-21T21:32:51Z,20260521,158,303,R01,High-risk merchant category,High,0.99,44413.32,Open,Under Review,unassigned
75,ALERT0000075,5940,2025-10-21T01:00:48Z,20251021,168,326,R01,High-risk merchant category,High,0.99,3349.63,Closed,False Positive,Maya Iyer
76,ALERT0000076,5955,2026-06-19T08:29:27Z,20260619,217,423,R03,Amount exceeds 6x customer average,High,0.735,705.62,Closed,Confirmed Fraud,Maya Iyer
77,ALERT0000077,6068,2025-05-10T16:51:27Z,20250510,168,327,R02,Impossible travel velocity,Critical,0.99,5052.99,Closed,Confirmed Fraud,auto-cleared
78,ALERT0000078,6113,2026-06-13T18:28:10Z,20260613,88,171,R05,Rapid-fire authorizations,High,0.731,414.65,Open,Under Review,unassigned
79,ALERT0000079,6145,2026-06-19T03:39:53Z,20260619,168,325,R05,Rapid-fire authorizations,High,0.99,499.0,Closed,Confirmed Fraud,Sara Lopez
80,ALERT0000080,6222,2026-06-19T23:00:15Z,20260619,220,429,R05,Rapid-fire authorizations,High,0.99,5711.05,Open,Under Review,unassigned
81,ALERT0000081,6283,2025-10-20T11:59:32Z,20251020,42,86,R01,High-risk merchant category,High,0.717,11619.02,Closed,False Positive,Maya Iyer
82,ALERT0000082,6349,2025-11-14T18:10:02Z,20251114,185,361,R03,Amount exceeds 6x customer average,High,0.99,23521.17,Closed,Confirmed Fraud,auto-cleared
83,ALERT0000083,6378,2026-06-20T10:40:08Z,20260620,198,387,R03,Amount exceeds 6x customer average,High,0.99,275.06,Open,Under Review,unassigned
84,ALERT0000084,6423,2026-05-21T08:29:51Z,20260521,23,51,R02,Impossible travel velocity,Critical,0.704,44.13,Closed,False Positive,Maya Iyer
85,ALERT0000085,6484,2026-02-17T03:44:58Z,20260217,109,209,R07,Dormant account suddenly active,Critical,0.866,633.54,Closed,Confirmed Fraud,Ken Watanabe
86,ALERT0000086,6509,2025-12-08T02:14:19Z,20251208,8,18,R04,Card-not-present + international,Medium,0.721,77.12,Closed,Confirmed Fraud,Maya Iyer
87,ALERT0000087,6597,2025-09-25T15:25:29Z,20250925,168,327,R07,Dormant account suddenly active,Critical,0.846,56991.82,Closed,Confirmed Fraud,Tom Becker
88,ALERT0000088,6682,2025-03-06T20:42:28Z,20250306,65,129,R02,Impossible travel velocity,Critical,0.958,27134.25,Closed,Confirmed Fraud,Tom Becker
89,ALERT0000089,6737,2025-02-12T21:30:25Z,20250212,77,155,R05,Rapid-fire authorizations,High,0.99,34975.65,Open,Under Review,unassigned
90,ALERT0000090,7016,2026-01-13T00:07:29Z,20260113,18,43,R02,Impossible travel velocity,Critical,0.857,43482.04,Closed,Confirmed Fraud,Sara Lopez
91,ALERT0000091,7071,2026-06-19T19:26:51Z,20260619,160,308,R03,Amount exceeds 6x customer average,High,0.723,42473.49,Closed,Confirmed Fraud,Tom Becker
92,ALERT0000092,7105,2026-03-28T18:55:58Z,20260328,220,431,R04,Card-not-present + international,Medium,0.778,8.37,Open,Under Review,unassigned
93,ALERT0000093,7553,2025-06-20T04:57:05Z,20250620,68,137,R03,Amount exceeds 6x customer average,High,0.816,60978.01,Open,Under Review,unassigned
94,ALERT0000094,7634,2025-11-28T05:14:41Z,20251128,66,133,R06,First transaction in new country,Medium,0.863,333.1,Open,Under Review,unassigned
95,ALERT0000095,7660,2026-06-20T08:39:35Z,20260620,150,288,R02,Impossible travel velocity,Critical,0.889,4048.46,Open,Under Review,unassigned
96,ALERT0000096,7806,2025-12-28T16:10:23Z,20251228,181,352,R03,Amount exceeds 6x customer average,High,0.908,160.37,Closed,False Positive,Sara Lopez
97,ALERT0000097,7831,2026-06-18T22:45:42Z,20260618,55,111,R02,Impossible travel velocity,Critical,0.99,29668.34,Open,Under Review,unassigned
98,ALERT0000098,7990,2026-02-19T12:10:40Z,20260219,220,430,R04,Card-not-present + international,Medium,0.947,7.13,Closed,Confirmed Fraud,Maya Iyer
99,ALERT0000099,8020,2026-06-18T15:59:42Z,20260618,208,404,R06,First transaction in new country,Medium,0.71,485.54,Closed,False Positive,Tom Becker
100,ALERT0000100,8052,2025-04-02T06:48:43Z,20250402,165,319,R06,First transaction in new country,Medium,0.723,3512.46,Open,Under Review,unassigned
101,ALERT0000101,8070,2026-06-19T16:46:50Z,20260619,165,319,R01,High-risk merchant category,High,0.704,74.45,Closed,Confirmed Fraud,Sara Lopez
102,ALERT0000102,8150,2025-12-31T03:33:38Z,20251231,88,171,R04,Card-not-present + international,Medium,0.928,392.08,Open,Under Review,unassigned
103,ALERT0000103,8161,2025-06-15T12:54:52Z,20250615,6,15,R01,High-risk merchant category,High,0.727,55035.64,Closed,False Positive,auto-cleared
104,ALERT0000104,8171,2026-06-20T02:13:33Z,20260620,66,131,R03,Amount exceeds 6x customer average,High,0.99,168.21,Closed,Confirmed Fraud,Sara Lopez
105,ALERT0000105,8257,2025-10-12T15:12:42Z,20251012,66,131,R07,Dormant account suddenly active,Critical,0.99,493.68,Open,Under Review,unassigned
106,ALERT0000106,8306,2026-06-19T07:44:49Z,20260619,220,429,R06,First transaction in new country,Medium,0.979,238.47,Open,Under Review,unassigned
107,ALERT0000107,8571,2025-10-01T16:46:12Z,20251001,169,329,R06,First transaction in new country,Medium,0.779,146.52,Closed,False Positive,Sara Lopez
108,ALERT0000108,8597,2025-02-15T07:58:35Z,20250215,70,141,R03,Amount exceeds 6x customer average,High,0.719,317.43,Closed,Confirmed Fraud,Tom Becker
109,ALERT0000109,8687,2026-06-19T11:35:30Z,20260619,185,361,R06,First transaction in new country,Medium,0.977,24421.12,Closed,Confirmed Fraud,auto-cleared
110,ALERT0000110,8908,2025-08-26T06:17:59Z,20250826,54,108,R07,Dormant account suddenly active,Critical,0.99,495.39,Closed,Confirmed Fraud,Ken Watanabe
